,genre,href
61,pop urbaine,https://embed.spotify.com/?uri=spotify:playlist:21Le5iw1j6zgOMBtxioYfR
62,sertanejo,https://embed.spotify.com/?uri=spotify:playlist:2EkYuzS8qUbRdqV5Bjnnin
63,filmi,https://embed.spotify.com/?uri=spotify:playlist:1uny7o4LNoe7C5qJJ8S1k1
64,sertanejo universitario,https://embed.spotify.com/?uri=spotify:playlist:4JU3dwfdYvsBf0c4MOerz0
65,latin alternative,https://embed.spotify.com/?uri=spotify:playlist:6PBjVS6WmDRbFXYe39j8hN
66,country rock,https://embed.spotify.com/?uri=spotify:playlist:2yykv7TMUr4jPHPAE8Q3vW
67,latin rock,https://embed.spotify.com/?uri=spotify:playlist:31YWtFP5V22xiYZ2og7HOy
68,mexican pop,https://embed.spotify.com/?uri=spotify:playlist:4sghNjSZeUx5DFTADuPhPj
69,corrido,https://embed.spotify.com/?uri=spotify:playlist:6UL8UnDWu9c95luN7S4wRs
70,alternative r&b,https://embed.spotify.com/?uri=spotify:playlist:0Hwb2a9DJdom4yoe5V41K9
71,k-pop boy group,https://embed.spotify.com/?uri=spotify:playlist:7jGzify69eicmfL77zOGbm
72,norteno,https://embed.spotify.com/?uri=spotify:playlist:2UITkS3qkO0x6bKVzKZrbS
73,funk carioca,https://embed.spotify.com/?uri=spotify:playlist:1aAckG2NI0cuL7QDKVeV2N
74,j-pop,https://embed.spotify.com/?uri=spotify:playlist:3leFycE2a7uXZyuC6DQbdQ
75,modern alternative rock,https://embed.spotify.com/?uri=spotify:playlist:3PMlHfN3H3GmOcTgEcGwJT
76,modern bollywood,https://embed.spotify.com/?uri=spotify:playlist:2HibxdzVLGDPR5GIrm4cza
77,indie poptimism,https://embed.spotify.com/?uri=spotify:playlist:7nHgmv7uyIA1KHj6qTttjH
78,hip pop,https://embed.spotify.com/?uri=spotify:playlist:1btVAcL1TR8anpF72xgvjB
79,sertanejo pop,https://embed.spotify.com/?uri=spotify:playlist:1JsjFOxcEp912tK85VC98V
80,house,https://embed.spotify.com/?uri=spotify:playlist:6AzCASXpbvX5o3F8yaj1y0
81,lounge,https://embed.spotify.com/?uri=spotify:playlist:7jk0EKyr4Lc4jc4XPE4ycL
82,reggaeton colombiano,https://embed.spotify.com/?uri=spotify:playlist:6svSgLHdMo6N5iGPSnUkKv
83,latin arena pop,https://embed.spotify.com/?uri=spotify:playlist:59qMoqvlNat6Knc0feSWJn
84,blues rock,https://embed.spotify.com/?uri=spotify:playlist:2kISScyTs0we9kzH9MKEMb
85,viral pop,https://embed.spotify.com/?uri=spotify:playlist:0tAsyMQoefUL8DWNn6xkAk
86,brill building pop,https://embed.spotify.com/?uri=spotify:playlist:1afcjkK4GbaOpct5MpecCQ
87,neo soul,https://embed.spotify.com/?uri=spotify:playlist:2zxYQBTWiXgpQEyQggYSTm
88,metal,https://embed.spotify.com/?uri=spotify:playlist:3pBfUFu8MkyiCYyZe849Ks
89,colombian pop,https://embed.spotify.com/?uri=spotify:playlist:2nl7TE1YytDEEfs4Ul6ALj
90,new wave,https://embed.spotify.com/?uri=spotify:playlist:1ydxatu4wrujF0H2hGU8IR
91,emo rap,https://embed.spotify.com/?uri=spotify:playlist:0Fz9zaKbug4gw1xTvmTUWI
92,indie folk,https://embed.spotify.com/?uri=spotify:playlist:5Z5KHMrb3bNWGOZJ6y8gsL
93,francoton,https://embed.spotify.com/?uri=spotify:playlist:1ZoIbk8whEaIhk5q1UQYre
94,stomp and holler,https://embed.spotify.com/?uri=spotify:playlist:3zVZ3GsfiYp0vlVazHcDXI
95,post-grunge,https://embed.spotify.com/?uri=spotify:playlist:60NgGlktCblheYPBSSUUXz
96,sierreno,https://embed.spotify.com/?uri=spotify:playlist:1ToiYTSneIiS6m4pYfrZrI
97,indie rock,https://embed.spotify.com/?uri=spotify:playlist:4XXr357Jej7eUBh7XPK8hb
98,motown,https://embed.spotify.com/?uri=spotify:playlist:28UOzZyORCx38D8dKe3fsq
99,spanish pop,https://embed.spotify.com/?uri=spotify:playlist:40auwv5lX0xeL2w7Kr6BoT
